depth_m;temp_C;DO_mgL
8.3684;13.4242;9.904
8.3684;13.4124;9.8916
8.4043;13.3876;9.8443
8.4312;13.3646;9.7153
8.4222;13.3534;9.7615
8.4671;13.3387;9.7125
8.4761;13.3245;9.6052
8.512;13.2809;9.4465
8.5299;13.2544;9.442
8.5299;13.2232;9.4818
8.5299;13.1937;9.6053
8.5299;13.1766;9.6686
8.5389;13.1589;9.6627
8.5479;13.1454;9.6163
8.5389;13.1188;9.649
8.5748;13.1106;9.4174
8.6018;13.0911;9.2477
8.6107;13.0517;9.1225
8.6377;12.9815;9.0537
8.6646;12.9379;9.0461
8.7005;12.9131;9.0502
8.7274;12.8766;9.0191
8.7274;12.8625;9.0842
8.7274;12.8283;9.0064
8.7633;12.7676;8.8927
8.7813;12.701;8.8173
8.8172;12.6402;8.7861
8.8351;12.6043;8.8066
8.8441;12.5648;8.7979
8.8531;12.5495;8.8436
8.871;12.5165;8.7849
8.88;12.4717;8.6517
8.907;12.4198;8.582
8.9159;12.4145;8.6226
8.9518;12.3397;8.4656
8.9877;12.2825;8.3882
9.0326;12.2011;8.2957
9.0775;12.1316;8.2799
9.1134;12.0591;8.2556
9.1314;12.0102;8.2741
9.1673;11.9471;8.188
9.2211;11.8752;8.1077
9.2301;11.8605;8.2736
9.2391;11.8675;8.4445
9.266;11.8451;8.4013
9.2839;11.8275;8.2582
9.3198;11.8009;8.1852
9.3378;11.7455;8.0229
9.3737;11.6854;7.8967
9.4096;11.6412;7.9135
9.4186;11.6052;7.9457
9.4365;11.577;7.9108
9.4635;11.5269;7.7545
9.4904;11.495;7.7253
9.5263;11.4697;7.7393
9.5532;11.4455;7.7403
9.5891;11.3878;7.52
9.616;11.3276;7.3973
9.643;11.3117;7.5237
9.643;11.307;7.5634
9.652;11.3017;7.5634
9.652;11.2828;7.4845
9.6699;11.2599;7.4249
9.6699;11.2475;7.4086
9.652;11.238;7.4237
9.6789;11.2245;7.1847
9.6968;11.2127;7.0886
9.7327;11.1803;7.0916
9.7507;11.1514;7.1597
9.7327;11.1508;7.3352
9.7417;11.1402;7.1646
9.7866;11.0989;6.7778
9.7956;11.0789;6.6381
9.8584;11.0282;6.5471
9.8853;11.0023;6.5517
9.9033;10.9722;6.4722
9.9571;10.9292;6.3793
9.993;10.8756;6.3793
10.011;10.8331;6.415
10.0469;10.7978;6.4842
10.0379;10.7972;6.5774
10.0648;10.7718;6.4215
10.0918;10.7341;6.2829
10.1456;10.6593;6.1949
10.1725;10.6215;6.3071
10.2084;10.5944;6.3237
10.2174;10.5638;6.3086
10.2354;10.5355;6.3268
10.2443;10.516;6.2683
10.2623;10.4871;6.1828
10.2982;10.4565;6.1305
10.3431;10.4294;6.1334
10.3341;10.4099;6.183
10.352;10.3981;6.1757
10.361;10.3787;6.0678
10.379;10.3575;5.9885
10.3969;10.328;5.9608
10.4149;10.3056;5.9928
10.4418;10.2856;5.9715
10.4777;10.2649;5.8818
10.5046;10.2355;5.8973
10.5585;10.2042;5.8288
10.5764;10.1553;5.7716
10.5944;10.1252;5.8147
10.6482;10.094;5.782
10.6662;10.0663;5.7686
10.72;10.041;5.7491
10.738;10.0156;5.768
10.7559;9.9968;5.7257
10.7918;9.9738;5.7153
10.8277;9.9555;5.734
10.8457;9.936;5.7099
10.8367;9.9249;5.8152
10.8546;9.919;5.9218
10.8636;9.9125;5.8223
10.8995;9.8954;5.69
10.9264;9.8759;5.5688
10.9623;9.8582;5.604
10.9623;9.8406;5.6151
10.9982;9.8182;5.549
11.0341;9.8064;5.5122
11.0611;9.7916;5.4704
11.097;9.7698;5.4501
11.1329;9.7522;5.4395
11.1777;9.7368;5.4442
11.1957;9.728;5.4868
11.1957;9.718;5.5288
11.2316;9.7133;5.5454
11.2226;9.7127;5.6375
11.2765;9.7032;5.4057
11.3213;9.6832;5.3383
11.3483;9.6655;5.3306
11.3662;9.649;5.3089
11.4021;9.6384;5.2697
11.438;9.6237;5.2433
11.4829;9.6095;5.2628
11.5098;9.6007;5.3068
11.5277;9.5883;5.2739
11.5726;9.5777;5.2265
11.6175;9.5647;5.2193
11.6444;9.5535;5.2684
11.6624;9.5417;5.362
11.6803;9.5406;5.5316
11.6893;9.5364;5.5311
11.6893;9.5311;5.5035
11.6803;9.5299;5.605
11.7162;9.5311;5.6151
11.7252;9.5276;5.5668
11.7431;9.517;5.4272
11.8149;9.4881;5.057
11.8598;9.4639;5.0551
11.8688;9.4563;5.108
11.9226;9.4303;5.0311
11.9675;9.4115;5.0324
11.9854;9.3973;5.0898
12.0213;9.3844;5.1328
12.0303;9.3743;5.1587
12.0572;9.3661;5.0734
12.1111;9.3443;5.0123
12.138;9.3284;5.0156
12.147;9.3172;4.9902
12.1829;9.2942;4.995
12.2008;9.2759;5.0634
12.2188;9.273;5.1554
12.2636;9.2576;5.1696
12.2726;9.2459;5.1175
12.3085;9.2323;5.0477
12.3175;9.2229;5.155
12.3265;9.2158;5.1669
12.3623;9.2022;5.0455
12.4072;9.1946;4.98
12.4611;9.1851;4.9065
12.488;9.1728;4.9245
12.5149;9.1651;5.0345
12.5418;9.1616;5.0559
12.5508;9.1533;5.0152
12.5598;9.1521;5.1327
12.5777;9.1498;5.0835
12.6136;9.1321;4.8614
12.6495;9.1132;4.8402
12.6585;9.0979;4.9284
12.6764;9.0938;5.1082
12.7034;9.0832;5.0836
12.7034;9.0726;5.0801
12.7303;9.0637;5.0173
12.7482;9.0508;4.8961
12.8021;9.0372;4.8065
12.838;9.0124;4.7824
12.8739;8.9901;4.7729
12.9187;8.9612;4.6856
12.9546;8.9364;4.7483
12.9546;8.9323;5.0609
12.9815;8.9229;5.0838
12.9995;8.9028;4.9298
13.0354;8.8916;4.99
13.0713;8.8781;5.0515
13.0713;8.8633;4.9514
13.0982;8.8515;4.8727
13.1341;8.8427;4.7607
13.179;8.8232;4.6887
13.1969;8.8174;4.8327
13.2238;8.8056;5.0371
13.2328;8.7902;5.0358
13.2507;8.7779;5.0366
13.2777;8.7673;4.9924
13.3315;8.7602;4.9487
13.3315;8.7519;5.0015
13.3674;8.7449;5.1247
13.3764;8.7372;5.1524
13.3854;8.7313;5.0773
13.4123;8.7225;5.069
13.4302;8.7172;5.0721
13.4302;8.7154;5.0789
13.4661;8.7119;5.1197
13.502;8.7077;4.9438
13.52;8.706;4.897
13.5289;8.7042;5.0632
13.5469;8.7036;5.089
13.5558;8.7012;4.8934
13.5828;8.6965;4.7311
13.6366;8.6918;4.6498
13.6994;8.6753;4.5556
13.7353;8.6618;4.5643
13.7981;8.65;4.6245
13.834;8.6476;4.791
13.852;8.647;4.9196
13.843;8.6452;4.9007
13.8699;8.6441;4.9175
13.8879;8.6364;4.8968
13.9148;8.6252;4.7102
13.9776;8.6022;4.492
14.0404;8.5893;4.5192
14.0583;8.5834;4.7
14.0763;8.5828;4.8602
14.0673;8.5828;4.9401
14.1032;8.5739;4.7949
14.1211;8.5674;4.898
14.1391;8.5651;4.8623
14.175;8.5562;4.7037
14.2109;8.5504;4.6653
14.2199;8.545;4.7521
14.2288;8.5415;4.9387
14.2288;8.5368;5.0979
14.2557;8.5344;5.0591
14.2647;8.5303;5.0365
14.2827;8.5274;5.0208
14.3006;8.5256;4.9305
14.3006;8.525;4.8467
14.3096;8.5227;4.7592
14.3365;8.5185;4.8363
14.3365;8.5209;5.039
14.3186;8.5185;5.2113
14.3455;8.5197;5.3237
14.3544;8.5185;5.2938
14.3544;8.5191;5.2228
14.3544;8.5185;5.0327
14.3365;8.5191;5.0316
14.3275;8.5185;5.1012
14.3365;8.5191;5.1948
14.3455;8.5168;5.2828
14.3365;8.5173;5.2782
14.3365;8.5191;5.1962
14.3365;8.5191;5.1993
14.3455;8.5179;5.1152
14.3544;8.5209;4.8325
14.3724;8.5168;4.5932
14.3903;8.5156;4.5388
14.4173;8.512;4.3557
14.4442;8.5061;4.3259
14.4621;8.5061;4.3968
14.507;8.5032;4.3398
14.5429;8.4979;4.2799
14.5249;8.4991;4.4109
14.5518;8.4967;4.6276
14.5249;8.4967;4.7815
14.5249;8.4973;4.9052
14.5429;8.4979;4.7418
14.5608;8.4979;4.4953
14.5608;8.4979;4.3753
14.5877;8.4979;4.3512
14.6057;8.4967;4.408
14.5877;8.4967;4.5744
14.5877;8.4967;4.6314
14.6236;8.4961;4.5577
14.6326;8.4955;4.5413
14.6595;8.4967;4.5111
14.6685;8.4967;4.4468
14.7044;8.4967;4.2744
14.7134;8.4967;4.1768
14.7582;8.4955;4.2098
14.7762;8.4967;4.1642
14.7851;8.4973;4.1925
14.821;8.4973;4.3013
14.812;8.4955;4.349
14.83;8.4938;4.3355
14.8479;8.4896;4.2405
14.8659;8.4773;4.2718
14.8838;8.4708;4.3855
14.8928;8.4625;4.5002
14.8749;8.456;4.6034
14.8838;8.4525;4.6724
14.9018;8.4484;4.6676
14.9107;8.4443;4.6149
14.9107;8.4431;4.4935
14.8928;8.4419;4.4551
14.9018;8.4419;4.4411
14.9197;8.4437;4.4668
14.9377;8.4454;4.5542
14.9377;8.4437;4.6097
14.9287;8.4454;4.6504
14.9377;8.4454;4.7016
14.9377;8.446;4.7817
14.9377;8.4472;4.882
14.9107;8.4401;4.9154
14.9107;8.4354;4.7703
14.9197;8.4337;4.6153
14.9018;8.4342;4.5347
14.8928;8.4331;4.532
14.9107;8.4301;4.6175
14.9107;8.4248;4.6601
14.9287;8.4189;4.6275
14.9287;8.4148;4.5687
14.9287;8.4154;4.5354
14.9197;8.4113;4.5292
14.9287;8.4101;4.5472
14.9107;8.4107;4.5453
14.9287;8.4077;4.5078
14.9287;8.4065;4.4522
14.9197;8.4095;4.4088
14.9197;8.4083;4.4072
14.9107;8.4083;4.4576
14.8928;8.4101;4.4883
14.9197;8.4089;4.4446
14.9018;8.4089;4.3749
14.9287;8.4095;4.338
14.9377;8.4101;4.345
14.9287;8.4089;4.3819
14.9377;8.4118;4.4124
14.9466;8.4107;4.3754
14.9377;8.4107;4.3372
